0,Z
1,S
2,W
3,3
4,X
5,D
6,E
7,4
8,C
9,F
10,R
11,5
12,V
13,G
14,T
15,6
16,B
17,H
18,Y
19,7
20,N
21,J
22,U
23,8
24,PAD_2
25,PAD_5
26,PAD_8
27,NUM_LOCK
28,M
29,K
30,I
31,9
32,COMMA
33,L
34,O
35,0
36,PERIOD
37,SEMICOLON
38,P
39,MINUS
40,SLASH
41,QUOTE
42,LEFT_BRACE
43,EQUAL
44,SPACE
45,RSHIFT
46,BACK_QUOTE
47,RIGHT_BRACE
48,CAPS_LOCK
49,PAD_ASTERIX
50,ENTER
51,BACKSPACE
52,PAD_0
53,PAD_1
54,PAD_4
55,PAD_7
56,PAD_PLUS
57,UNASSIGNED
58,PAD_MINUS
59,SCROLL_LOCK
60,PAD_PERIOD
61,PAD_3
62,PAD_6
63,PAD_9
64,BACKSLASH
65,A
66,Q
67,2
68,LALT
69,UNASSIGNED
70,UNASSIGNED
71,1
72,F7
73,F5
74,F3
75,F1
76,F8
77,F6
78,F4
79,F2
80,F10
81,UNASSIGNED
82,UNASSIGNED
83,UNASSIGNED
84,F9
85,UNASSIGNED
86,UNASSIGNED
87,UNASSIGNED
88,LSHIFT
89,LCTRL
90,TAB
91,ESC
92,UNASSIGNED
93,UNASSIGNED
94,UNASSIGNED
95,UNASSIGNED
